"respondent_id","age","income","visits_per_week","gender","work_status","Consume high-quality coffee for satisfaction","Obtain coffee quickly during time constraints","Secure comfortable space for extended stays","Access internet connectivity while away from home","Accumulate rewards through repeat purchases","Place orders remotely to avoid waiting","Acquire fresh food alongside coffee","Access coffee within daily travel patterns","Purchase coffee during off-peak hours","Support businesses aligned with personal values","Receive guidance for optimal coffee selection","Purchase coffee within financial limits","Find quiet space for focused activities","Choose from options matching current preferences","Experience service in hygienic conditions","prediction_accuracy","rlh","quality_rating"
11,45,98000,7,"Female","Full-time",13.0414723629497,2.47721164670751,1.57264246939655,1.96524802241432,10.9520547047253,1.48111250746288,6.84649155525866,10.9985851473965,4.27356576674278,2.52267368222811,17.9286414659865,9.60856211377367,3.06416639383204,2.59431814943573,10.6732540116898,0.875,0.625,"Excellent"
12,38,93000,6,"Female","Full-time",18.8103092121673,1.30815519324315,0.932091883629368,2.86765677505922,4.25914035369155,0.851058952928757,9.1863765886127,20.3513147369118,4.44229053041053,0.915027109689025,14.9299562987055,5.01652535029675,1.70881875930179,0.246051398598341,14.1752268567542,1,0.7,"Excellent"
13,38,85000,5,"Male","Full-time",14.8320721840853,2.10026754156007,1.23370652003311,0.603557919169706,15.8787384266328,0.880685098221913,7.22292209705197,17.03768169163,5.77305172846645,3.49613598944524,11.7074077468819,4.75048256769263,1.41410402318835,3.50114725191828,9.56803921402231,0.9375,0.6625,"Excellent"
14,36,63000,4,"Male","Full-time",17.1374984837688,2.22093454433469,1.95381057102061,3.11973542210246,12.3435358125531,1.44912954141378,9.7381654286383,12.7145657900788,7.04116565907755,0.184593200084331,10.9549044902525,7.46962330317042,1.75421246387995,2.53146716396386,9.38665812566087,0.6875,0.5125,"Excellent"
15,31,64000,11,"Female","Student",15.5599429733928,0.834569325452374,1.5892479621475,5.6006562948171,14.0748550250691,0.758719378248574,9.8350097711771,11.7406999747999,3.79995794316357,3.02290782350306,16.8028834395936,5.68045848911836,0.369864090985652,3.81677169185098,6.51345581668033,1,0.7,"Excellent"
16,49,43000,7,"Male","Full-time",14.7051600311329,0.141763490146815,2.45328730288942,3.96868155288548,16.7494543156071,0.289046637405167,6.00645700554561,17.2481859181809,3.07814097180461,2.66131735108013,14.8928061095425,3.81435411428836,0.234130607760601,3.07173520313867,10.6854793885918,0.8125,0.5875,"Excellent"
17,39,75000,5,"Male","Full-time",16.5891945716633,0.242638365827596,2.27339817655565,4.26413465772218,18.3992213925526,0.954817882545865,4.49093101056917,13.8538675954086,5.45469302045532,3.13626080111005,12.7441345771494,3.13440596170352,1.66840140550546,3.47802156997228,9.31587901125898,0.9375,0.6625,"Excellent"
18,22,93000,3,"Male","Full-time",21.9914733072813,2.13065912063589,2.4858351350701,2.45112282518052,10.7684993543845,1.06657188399232,9.42297578631723,19.619718503832,1.33476164200499,1.37795953603683,12.312293036043,5.95298998433068,2.36276433970356,2.30671184488431,4.41566370030278,0.9375,0.6625,"Excellent"
19,41,96000,7,"Female","Full-time",12.5975632754592,1.24469308705563,2.12743543119414,1.10588054233067,16.7470441111519,0.938893743862782,7.32864812458316,10.6159855577864,7.20351102949462,1.57543169911846,21.8200804259935,4.25018884598262,2.03870661042727,2.65142410169264,7.75451341386698,0.9375,0.6625,"Excellent"
20,31,77000,6,"Male","Full-time",17.5692137905044,1.99199213350692,0.762302284819148,2.90316444082275,10.4145770759846,0.855951014933161,14.327967083417,10.2556983601451,4.08022408914585,1.85301171973381,15.5788761917921,6.33574879628198,1.70134411700911,3.46749451684317,7.90243438506089,0.9375,0.6625,"Excellent"
21,26,64000,7,"Female","Full-time",15.2666574564786,1.72558386012198,0.924817677041141,2.24599875332605,13.4566656937245,1.27934946739243,8.43385967750461,15.111794892101,3.16777907549943,1.73977619222042,13.8920097441338,5.59846742587295,5.16632988436654,2.51721091464649,9.47369928557008,0.8125,0.5875,"Excellent"
22,33,141000,8,"Female","Full-time",22.9793640873677,0.218841362024542,2.46636117689498,0.555968184487902,12.5076417365824,0.658996887038441,9.14350810157693,16.135252284502,4.25122466483338,3.16238343924932,9.21862160923819,5.56001480440028,1.80118963912765,0.280256719009353,11.0603753036669,0.9375,0.6625,"Excellent"
23,27,90000,6,"Female","Student",23.4374931074997,0.76049044106854,1.52916800099394,2.57713843080241,15.1338492608144,0.81248944795981,6.56422430833951,8.35703257770849,4.83699820820586,1.99299523535786,13.2141619998447,5.50204974146457,1.53640319705211,2.64189629380701,11.1036097490811,0.875,0.625,"Excellent"
24,29,103000,3,"Female","Full-time",12.1638621996523,0.691459718199539,2.33077576149425,1.70863646389423,11.4402630802447,1.12024777986601,8.13857914286509,17.8791600225405,5.0360890676859,1.8912506984227,18.5511511755641,2.6655518401782,4.48684673797716,2.88192012129498,9.0142061901204,0.75,0.55,"Excellent"
25,30,68000,7,"Male","Full-time",9.78556817226934,1.5821572101448,3.41459742742157,3.32351570871364,17.9785446755774,1.21966395904058,6.15369231452002,17.4960544704747,3.64085788231098,5.61870836582454,8.66366375752151,3.29688712570328,2.31194241764864,2.67644947344182,12.8376970393872,0.9375,0.6625,"Excellent"
26,22,74000,2,"Male","Full-time",17.7800479194763,1.86117011306305,0.10456267049169,3.42149284277208,13.9662676198863,1.41537224864152,10.0262694506284,9.28834016208732,5.16977886504427,2.44339938941226,12.544553613718,6.34023485165262,1.06703765754596,3.64129781080556,10.9301747847748,0.9375,0.6625,"Excellent"
27,42,84000,11,"Male","Full-time",20.9925395983817,2.11077501865143,0.92540247316177,3.43415483149,17.7676320517527,0.682171255993395,6.01201551109226,12.7287321073557,4.3738131591427,1.69831375331041,8.29680124133317,8.0915810264141,2.06225162446562,2.4304610747685,8.39335527268658,0.9375,0.6625,"Excellent"
28,36,109000,10,"Male","Full-time",19.3000825485062,1.62932302502658,1.58303674124998,2.55315279392267,14.8811471686146,0.244835497043191,8.6204995451989,10.3299233444491,5.38730029102163,3.19211673404009,12.7786834407784,6.94601809396997,1.64523535706547,1.55738995211919,9.35125546699398,0.9375,0.6625,"Excellent"
29,26,69000,8,"Male","Full-time",14.9183386789098,1.6181400184225,1.65071599785395,4.65513695072939,12.9543344040873,1.34732869244802,7.52276858840997,16.4492573013093,2.59402045910578,2.89416123773447,9.87505105932985,8.75228198313892,2.1257533327495,1.98044276461862,10.6622685311527,0.8125,0.5875,"Excellent"
30,45,92000,4,"Female","Full-time",23.0245453918585,1.90560031916711,0.497989814580745,3.79824968478846,7.72049718171983,1.052329015568,7.26039736584736,23.4686184719619,2.80505296106773,2.19251392117327,6.21126650921536,8.02183857682015,1.15717174473457,3.32042182855969,7.56350721293728,1,0.7,"Excellent"
31,38,35000,6,"Female","Full-time",8.57325852508222,1.31610266724988,1.32056981573406,4.11793650881403,10.6005735613837,4.12737852900991,9.28568286255069,15.4518182526254,4.65606607298924,1.88962051776489,17.7233971649301,7.29658627091299,2.91785833496639,1.94119619282306,8.78195472316346,0.6875,0.5125,"Excellent"
32,33,65000,5,"Female","Full-time",16.9191655254818,1.87724659906274,1.72838669583987,3.51402959969866,18.0157547468648,0.111738386960546,6.6149513134674,13.0387331570043,2.90464488733341,2.21858450884527,13.9465706415059,5.9695438709188,1.93710656650403,0.550700536325041,10.6528429641874,0.8125,0.5875,"Excellent"
33,42,49000,11,"Male","Part-time",11.6578564597034,1.17653244464697,0.799381276140782,2.11544460931395,18.2458041378227,0.44031278175048,9.94663948892553,12.7508816747134,3.46734795452314,1.04172886042227,10.0902717339223,10.2235900618645,1.79244119840364,4.18007792908576,12.0716893887611,0.8125,0.5875,"Excellent"
34,42,97000,9,"Male","Full-time",10.4562994851083,4.03955357008014,0.97282596493251,4.33708976269882,17.2654959810007,0.719985554438895,10.7209383111431,11.7404637465463,0.317249607265522,2.54038214730455,10.9953362761069,6.45281877955712,1.19919675016312,7.18436131676626,11.0580027468877,0.875,0.625,"Excellent"
35,42,72000,7,"Male","Part-time",15.7263914485122,1.74150937297383,1.64079594622329,3.10995887474684,15.3926528704217,1.50055317726395,7.62763268951721,20.5531106207354,4.00513299734658,2.12552745604088,11.9696261168517,6.20626785510142,0.750020473672891,2.07095900055092,5.57986110004121,0.8125,0.5875,"Excellent"
36,41,67000,8,"Female","Full-time",14.3121154065787,2.23114163521388,0.755095257418521,2.48046150484511,6.96491491667178,1.45181132769916,5.42373561498207,17.5843952560487,5.36979916251357,2.29821505070103,15.4208309640431,6.90803412176913,1.30951825289112,5.23708964767981,12.2528418809442,0.8125,0.5875,"Excellent"
37,39,102000,7,"Male","Student",12.7831666735302,2.4781638162252,2.68042773936766,1.2879217056744,17.8021803025643,1.29741819108461,9.39357141139116,17.9168044914288,3.8924717094718,3.20009116759876,13.3307651150484,3.50481048768628,2.06471544984903,0.270880797404415,8.09661094167492,0.875,0.625,"Excellent"
38,35,97000,5,"Male","Full-time",14.8889185830847,0.896867633477276,0.134054308845992,3.21675234787915,16.1141635960993,3.16621450265462,4.74138586199553,18.9881310021356,5.80119225077743,1.94588992080464,9.69020117719063,4.16874518992161,2.19138024372026,3.0728707692134,10.9832326121999,0.875,0.625,"Excellent"
39,33,57000,9,"Male","Full-time",17.5000435214877,1.15228772792185,0.627143584838688,3.21150661039864,9.58820886930506,3.68400116814021,8.30237374817347,22.1543375677985,3.87421165704149,2.05191428852839,13.3729755557603,3.57387182883189,1.38428135074608,1.89276137544914,7.63008114557863,0.8125,0.5875,"Excellent"
40,32,84000,2,"Female","Part-time",13.0237131816983,5.40961113520155,1.09728945040294,2.45493852106934,15.3779507046124,0.412842299710184,9.51971134332998,10.4706538541903,4.71614286947914,1.90323719452189,16.7576497803111,4.67470963432661,2.23104079014986,2.44850065683274,9.50200858416371,1,0.7,"Excellent"
41,29,50000,6,"Female","Full-time",17.8415192580879,0.545769848717434,0.252811486739061,2.79516542135858,13.8966345464528,0.789225434740843,7.48039487119888,16.837199837149,4.30381145101905,2.11434895009954,19.8066802022896,1.79538668544202,1.17515964866688,2.43654378314144,7.9293485748969,0.6875,0.5125,"Excellent"
42,33,65000,5,"Female","Full-time",21.4090688198507,0.139794736587143,2.29358174547419,2.42356905025431,9.1508148856376,4.4211466501975,8.03496251585126,10.9520297295846,5.65587703982383,2.06018837404263,11.9584380586855,7.49705402873234,2.16142563017018,3.5587174551871,8.28333127992123,0.8125,0.5875,"Excellent"
43,25,107000,8,"Male","Full-time",15.4101808668039,2.20996044103974,0.498773289663022,2.36090167047351,18.0877536603303,0.877428113065825,9.19414513124056,4.80833713317517,2.75392243320501,1.70589097888263,16.1359696326333,10.9222258242802,1.33940041245451,3.33092638467063,10.3641840280817,0.9375,0.6625,"Excellent"
44,52,104000,7,"Male","Full-time",14.2440703914263,0.887453113544239,1.54225961798139,1.76103123957547,17.4513250128223,0.203017997624116,7.43745360228915,18.0884809986277,6.38998745207333,2.17321429394344,11.6551692807687,4.98323520123209,2.31959788988522,2.71521186210654,8.1484920461001,0.9375,0.6625,"Excellent"
45,45,97000,5,"Female","Part-time",12.1090996508834,2.27042690399276,0.786591275572193,2.35635911416714,13.7407701095318,0.955976092441966,8.47110644205613,17.7183680513467,5.73240194491278,3.29420914066907,12.3594997584714,6.09064990450129,1.12660517847324,2.44583565736207,10.5421007756181,0.875,0.625,"Excellent"
46,26,64000,9,"Male","Full-time",16.9307877554343,1.98548299713762,1.17759153972491,3.75411230867969,17.1153082547415,1.07857355475979,7.31026592111479,9.5566848676989,4.07131312932953,5.75838264435864,11.355472706031,7.73299398304202,1.18728968549614,0.268375399665941,10.7173652527853,0.875,0.625,"Excellent"
47,32,37000,6,"Male","Full-time",12.9390717986057,2.02681559837184,0.270415159977587,2.7244903549637,13.7415340948022,0.44413400886933,6.8069380708185,22.3774155086755,4.39718305014288,0.240153926562148,11.5572164008235,8.8721924301965,0.998389983608751,3.15394837321322,9.45010124036863,0.9375,0.6625,"Excellent"
48,31,51000,9,"Male","Full-time",15.6414081834575,3.78409303609909,0.586926813302939,2.35723548333443,11.2261108377671,1.40234811443886,7.09624222431898,17.5914581247825,5.60442847863092,4.57718570736164,14.2953886620668,5.58343960193632,1.41137861138848,2.18206667148652,6.6602894496279,1,0.7,"Excellent"
49,41,94000,6,"Male","Part-time",20.6022537492297,1.48299281522813,0.174908527396515,2.41931024297716,15.0320053279456,0.878272384583978,7.97211963231756,8.08961002288821,3.86624305286711,2.10192125909354,14.1484281469447,4.95970845500655,2.24200455146951,2.63032561813297,13.3998962139187,0.875,0.625,"Excellent"
50,34,69000,7,"Female","Part-time",13.8077984101732,0.28951630430039,0.362631168512127,3.62594363522735,7.83523306951043,2.11271672142621,9.92950188766315,18.7937129394765,5.44966990732022,0.323408403821306,13.6781785338647,5.08433528669874,2.60881094023844,3.39975250523093,12.6987902865363,0.8125,0.5875,"Excellent"
51,37,35000,4,"Female","Full-time",14.0167111614162,2.0243505083969,0.915194222686507,3.09329737075495,7.92492840844299,0.509754287326045,8.07138400123883,16.8370457899879,4.03930432568038,2.67846614636442,14.4779912979339,9.79681741600717,3.71340966443018,2.30610796949048,9.59523742984317,0.6875,0.5125,"Excellent"
52,35,71000,5,"Male","Full-time",15.3704857043132,1.76242242341167,1.03385827074957,3.143653679944,10.3882547978272,0.91389128041739,9.29745972117329,15.4762355146686,3.59038261575251,3.1664744949297,16.5590172395521,3.72687226501583,1.39664045096816,2.46659698669445,11.7077545545824,0.625,0.475,"Good"
53,35,103000,11,"Female","Full-time",15.7211990108055,1.95671215664665,3.81621511506018,3.06913160048134,11.91717091089,2.28667598033411,8.89095631734448,9.78079035708339,4.86873403698326,3.28513858390298,13.4319416487257,3.83708519888525,0.902876102598871,3.45693297532494,12.7784400049333,0.75,0.55,"Excellent"
54,46,88000,13,"Female","Part-time",20.5423420311841,0.113467457304111,0.597598626292034,3.68332345149163,9.40259694519603,0.86512964501123,9.33392923371847,16.5162496863866,5.1859803661981,2.66490666278775,6.53905374680765,6.29009202482666,1.99878455416108,4.17386895043769,12.0926766181969,0.875,0.625,"Excellent"
55,33,59000,5,"Male","Part-time",15.1064904065021,2.53435655506087,1.16103477627229,3.27673252918057,10.7143499166907,1.05274401291429,11.9966682922517,19.4409139204581,4.32037859927094,4.82724353852137,7.10519024481332,4.8179522973927,0.302873306893286,3.10010246210483,10.242969141673,0.8125,0.5875,"Excellent"
56,47,44000,6,"Male","Part-time",14.6588995393095,0.197604967787084,2.32541326994151,3.2111217545985,18.1371821979558,0.367493034278212,10.1722231744417,15.6069447499437,4.10630931574042,1.44288354827847,12.8730446689921,3.87798194508921,1.54902503361464,1.5945629363202,9.87930986370907,0.875,0.625,"Excellent"
57,23,58000,5,"Male","Full-time",15.8461034007014,2.23424678061161,0.305992102299823,3.64119586548992,15.4760931950517,0.9702849683645,7.35795181163083,16.3883984496289,3.58000272590424,3.04536275100081,9.34113853640516,6.43950922556794,2.31131103725157,3.26489692746362,9.79751222262805,1,0.7,"Excellent"
58,40,76000,12,"Male","Full-time",15.6601024954451,2.32257605961338,1.53859496873396,4.14166344595341,18.4858099553656,0.928451227799901,5.88101204795413,13.9695116932246,7.70575296793499,1.69549192881037,10.4018869865996,6.75930511216881,1.64951326070689,0.114018705494038,8.74630914419516,0.875,0.625,"Excellent"
59,36,93000,9,"Male","Full-time",11.7764122764945,0.802443133099066,1.71530319141223,5.15623205000034,12.9795675545596,0.568264878818252,12.7067843337945,18.4944408148177,5.13545892617701,1.68886906859877,12.281022693174,4.64574315567288,3.12404501687619,3.22583741168127,5.6995754948237,0.9375,0.6625,"Excellent"
60,37,36000,6,"Female","Full-time",17.1877825445405,2.08308683934922,2.04039793137947,2.70330784556437,15.8614553827021,0.684461456767706,6.91782944577153,14.181335645459,2.4519298347271,4.32634294895862,15.4278185715429,6.51408004826065,0.899570803395875,2.03909344208516,6.68150725949585,0.8125,0.5875,"Excellent"
61,38,95000,6,"Male","Part-time",15.4553104232979,4.02588135886768,0.195788930745669,2.91255110430302,14.9807086704295,1.31475887712251,9.63220493952204,12.3749974363454,2.91681682570185,2.19986268421036,14.5860306868282,6.33291950690152,1.64864559420316,2.38800684690315,9.03551611461815,0.9375,0.6625,"Excellent"
62,31,75000,5,"Male","Full-time",15.65233961351,4.15918093498462,1.90013213828924,0.14586560380324,15.4826378198004,1.58140843291946,8.74733849435089,13.3611860290682,3.60940785552631,2.06501229319683,13.7939837693725,4.0856021596545,0.975480258320729,2.32430722784493,12.1161173693583,0.875,0.625,"Excellent"
63,32,86000,9,"Female","Full-time",19.0750611602333,1.91147980380075,1.71272975099801,2.57032403998506,18.0857576792918,1.53597263372571,10.116451538653,16.2975766543709,0.156711274541679,2.79005849831507,5.84222273990792,6.41107882103616,2.18796934430826,2.49196448730127,8.81464157353113,0.875,0.625,"Excellent"
64,27,42000,10,"Male","Student",16.5158143357396,0.268481901780739,1.27415752109408,3.30986257770135,11.3265912842177,1.62252920687842,7.5173559592246,13.4689963089788,4.00998306414427,1.98477297803258,16.6865077667045,6.41640735919151,1.72648672761228,3.27994128780947,10.59211172089,0.8125,0.5875,"Excellent"
65,26,62000,4,"Male","Part-time",14.3067298166017,0.776495567371014,1.50498933203691,2.78315761245503,11.2612668791464,0.181113311263439,8.09476296896933,14.4969960777014,4.84030107359032,2.35269047039217,14.5065924596309,7.99439753504127,1.47042242547337,4.02453120990708,11.4055532604197,0.75,0.55,"Excellent"
66,37,66000,9,"Female","Student",14.3956558074629,1.20813513958849,0.548262452767139,2.66336443951346,18.7617909687018,1.19648804686463,8.828741349771,11.7349998836426,7.96693801194248,2.17043060621161,15.5427464877412,4.84528788033729,1.08510125454609,2.83216269757076,6.21989497333857,0.8125,0.5875,"Excellent"
67,39,96000,6,"Male","Full-time",18.6720670131778,2.25064059324136,2.15756760801094,3.8102047402851,12.8444007546018,3.27983650934031,5.00338562905801,13.7085423522189,3.56529834712817,2.95466867828993,8.09552909798518,8.43572935900206,0.863730705278293,3.90620881913456,10.4521897932476,0.8125,0.5875,"Excellent"
68,35,96000,7,"Male","Student",12.9693121873482,1.54336750316593,0.526132062394395,4.04405411478018,19.5158561057012,1.19022485113009,8.27170684745239,13.1423371302357,1.79265867082005,1.30111630744011,14.9570915448928,6.27315552836829,3.18488876776858,3.57273910992873,7.71535926857326,0.9375,0.6625,"Excellent"
69,42,84000,5,"Male","Full-time",13.4795450023031,1.89012716120887,2.08581611101401,1.43048735917492,17.7981138349355,0.923837849770449,12.5045226027296,14.004772231604,3.1087585258012,1.46512148644171,14.488776135114,7.22189842813892,1.1567200685478,1.70638951356755,6.73511368964839,0.625,0.475,"Good"
70,51,107000,3,"Male","Full-time",12.0727598163292,0.452809699275638,1.44247309321011,4.3483696401215,9.51323144121537,0.289236620051294,6.85350621877931,21.8206955426378,4.9300713663528,2.23192710456213,19.9225390626747,3.79278982859339,1.81169818817106,2.00524536662494,8.51264701140071,0.875,0.625,"Excellent"
71,31,65000,4,"Male","Full-time",17.9399724261882,1.21113054943212,1.19086016897995,2.96549834305774,14.9540646660867,1.68507723274924,6.74598234592189,13.1156967361997,3.99342161825235,2.39574103413434,14.0670032582474,6.66447123171729,1.74777372234491,3.42758088086477,7.89572578582338,0.9375,0.6625,"Excellent"
72,22,95000,2,"Male","Full-time",14.7670946704933,3.39722425371248,1.24744530578876,4.64750394064588,10.021062301068,2.23311638859043,7.27167139700988,13.9177442447319,4.08485531563364,2.27496931316591,10.4254630441242,5.37989028843698,4.72836164546782,3.44112941741934,12.1624684737114,0.9375,0.6625,"Excellent"
73,43,74000,5,"Female","Full-time",14.9712968795574,1.29366811202897,1.50966556779182,0.696796533978639,12.4715996143295,1.33514678950565,6.25514057901502,20.1551711079653,4.56862409376909,1.62485308804735,15.4681273135495,5.4798443373375,1.86656486692225,3.02653282450338,9.27696829169851,0.75,0.55,"Excellent"
74,29,62000,7,"Female","Full-time",15.9783746578247,4.68988225503158,1.29953449866559,2.47084739342487,11.5405542056915,2.30807440756606,9.13706504692943,14.2646508635392,2.69134232732247,2.11028356160396,12.4822116847034,5.21336198302283,1.72739421983643,4.2829323927117,9.80349050212622,0.8125,0.5875,"Excellent"
75,29,93000,4,"Male","Full-time",20.9099300557165,1.36093427059407,1.5728747765572,3.41999137534942,11.9368411640017,1.54280468718642,8.99270217151296,14.8032113252287,6.98988323738711,1.86803195098001,5.83844983916621,4.31316046927906,1.80367829467385,2.48290927612636,12.1645971062404,0.8125,0.5875,"Excellent"
76,43,103000,5,"Male","Part-time",16.2157812440063,0.238914939409399,1.34424591515475,3.4560562280619,15.8454144959157,0.425943585123565,9.79011377674077,15.4568430497703,3.86487895841322,1.56397063959578,13.5991227760046,6.08236645723969,2.08745593444248,2.65701195412444,7.37188004599706,0.9375,0.6625,"Excellent"
77,33,93000,8,"Male","Full-time",11.4602801607334,1.99210508994025,2.768565805548,3.6601990801394,8.83354170842404,0.81929051255907,8.62407130897838,13.6367918591567,3.32606920687076,2.74662698102726,15.9586511077216,6.90502219195865,5.06072522911376,3.88408312594162,10.3239766318871,0.875,0.625,"Excellent"
78,25,65000,8,"Male","Full-time",15.4242179214121,2.56881819351287,1.66813638032244,1.14640378995564,6.47414398961726,0.715552669213982,8.19014473544226,15.9837305112312,8.03980305521365,2.62586799725086,14.0064913189025,5.84354775244169,1.23811797014414,3.34736735754668,12.7276563577928,0.875,0.625,"Excellent"
79,36,66000,5,"Female","Full-time",20.4663967111342,2.31178691337937,2.24171609273377,3.80102129285764,16.9906877782011,0.759052788119049,8.18475079672503,8.27657134932368,4.19181670088819,2.16694352636415,12.2351884704642,6.68825694184955,0.177714384500476,2.24570582715005,9.26239042630959,0.875,0.625,"Excellent"
80,34,103000,8,"Male","Full-time",15.5233124452927,1.50276375696985,1.46393793599317,2.84300087943098,13.8759561963688,1.86232134629178,8.58624012467546,18.77962893052,3.9969667013405,1.9028030566503,12.9780571817092,1.64203182458308,1.19715079836371,4.3621749738749,9.48365384793562,0.625,0.475,"Good"
81,35,82000,6,"Female","Full-time",18.9405222111703,1.87178002961406,1.88961761863937,2.44460539413248,18.5594450885013,1.64393276312467,7.74465463549775,7.54645360701477,3.64271751298283,2.04543459803496,11.4925022925933,5.8714095350599,1.99912114916883,1.53542913430661,12.7723744301588,0.8125,0.5875,"Excellent"
82,38,92000,4,"Male","Full-time",12.8892378009509,1.82202110415088,1.98086183112849,2.98909278883376,10.3411608439283,0.871572644106257,9.0146280949916,14.8334863589993,3.04226124921994,2.46161891810231,15.364719976505,8.39656498987643,1.30386205875545,1.60797474640737,13.080936594044,0.625,0.475,"Good"
83,32,68000,4,"Male","Part-time",13.1509382113926,1.52886310489445,1.93374168065413,2.39781563664189,10.6775735730057,1.52908185590298,10.4852394670597,14.8207109839225,3.78486811620386,4.64031825073809,15.3834152981771,1.80015285159141,1.18630613461829,2.77433426463113,13.9066405705662,0.8125,0.5875,"Excellent"
84,40,1e+05,2,"Male","Full-time",16.716589971597,1.09588092769677,0.23719313446912,3.04134194847075,13.7269535653518,1.4466346891166,8.30047127066321,12.9491907321534,3.7917690151638,2.54115716579599,16.3119190136797,5.20479515245435,1.10523380412818,3.32238643393851,10.2084831753208,0.8125,0.5875,"Excellent"
85,33,59000,6,"Female","Full-time",15.8089427591875,0.108572816983982,1.79786075518023,2.62158750300444,11.81107443139,0.850548980679185,10.4457126530835,13.4876438543454,3.57250358730147,1.90782322252519,18.3157368961346,5.79340969259089,3.79398350039945,2.67879213501392,7.00580721218038,1,0.7,"Excellent"
86,38,88000,11,"Female","Full-time",18.8543189073703,4.27531461733358,0.733631945974854,6.47426432552138,8.04576960971851,1.24543105254766,9.0309226451491,12.0252087416025,4.81178747049834,3.27863586087526,12.0776663347272,2.01968900831839,2.21648519729601,2.06230871759035,12.8485655654765,0.875,0.625,"Excellent"
87,44,59000,2,"Female","Full-time",18.055595549385,1.00738263387702,1.86926667724761,6.40004892392757,12.240523695908,1.35765556987083,9.63747702967841,9.20021310330492,0.824773551912474,2.51278118816685,14.937735484974,4.06264212042968,3.11947977987167,3.00917368632985,11.7652510051161,0.9375,0.6625,"Excellent"
